stock_code,price_code,price,min,currency
LB 024A 01 AA                 ,A ,6.56,19,$  
LB 024A 01 AA                 ,B ,3.78,49,$  
LB 024A 01 AA                 ,C ,1.97,99,$  
LB 024A 01 AA                 ,D ,1.22,199,$  
LB 024A 01 AA                 ,E ,0.983,299,$  
LB 024A 01 AA                 ,F ,0.886,399,$  
LB 024A 01 AA                 ,G ,0.797,499,$  
LB 024A 01 AA                 ,H ,0.721,599,$  
LB 024A 01 AA                 ,I ,0.652,699,$  
LB 024A 01 AA                 ,J ,0.594,799,$  
LB 024A 01 AA                 ,K ,0.544,899,$  
LB 024A 01 AA                 ,L ,0.506,999,$  
LB 024A 01 AA                 ,M ,0.475,1000,$  
LB 024A 01 AAA                ,A ,6.56,19,$  
LB 024A 01 AAA                ,B ,3.78,49,$  
LB 024A 01 AAA                ,C ,1.97,99,$  
LB 024A 01 AAA                ,D ,1.22,199,$  
LB 024A 01 AAA                ,E ,0.983,299,$  
LB 024A 01 AAA                ,F ,0.885,399,$  
LB 024A 01 AAA                ,G ,0.796,499,$  
LB 024A 01 AAA                ,H ,0.719,599,$  
LB 024A 01 AAA                ,I ,0.651,699,$  
LB 024A 01 AAA                ,J ,0.593,799,$  
LB 024A 01 AAA                ,K ,0.544,899,$  
LB 024A 01 AAA                ,L ,0.505,999,$  
LB 024A 01 AAA                ,M ,0.475,1000,$  
LB 024B 01 AA                 ,A ,6.56,19,$  
LB 024B 01 AA                 ,B ,3.78,49,$  
LB 024B 01 AA                 ,C ,1.97,99,$  
LB 024B 01 AA                 ,D ,1.22,199,$  
LB 024B 01 AA                 ,E ,0.995,299,$  
LB 024B 01 AA                 ,F ,0.902,399,$  
LB 024B 01 AA                 ,G ,0.819,499,$  
LB 024B 01 AA                 ,H ,0.746,599,$  
LB 024B 01 AA                 ,I ,0.68,699,$  
LB 024B 01 AA                 ,J ,0.624,799,$  
LB 024B 01 AA                 ,K ,0.579,899,$  
LB 024B 01 AA                 ,L ,0.541,999,$  
LB 024B 01 AA                 ,M ,0.513,1000,$  
LB 024B 01 AAA                ,A ,6.56,19,$  
LB 024B 01 AAA                ,B ,3.78,49,$  
LB 024B 01 AAA                ,C ,1.97,99,$  
LB 024B 01 AAA                ,D ,1.22,199,$  
LB 024B 01 AAA                ,E ,0.984,299,$  
LB 024B 01 AAA                ,F ,0.887,399,$  
LB 024B 01 AAA                ,G ,0.798,499,$  
