title,Published Stock Code,langcode,uc_volume_pricing,field_free_length_mm_,field_outside_diameter_mm_,field_role_diameter,edit-volume-pricing-volume-set0-price,edit-volume-pricing-volume-set0-min
LB 024A 01 AA,LB024A01AA,eg,0.268,0.268,6.81,0.681,6.56,19
LB 024A 01 AAA,LB024A01AAA,eg,0.208,0.208,5.28,0.528,3.78,49
LB 024B 01 AA,LB024B01AA,eg,0.268,0.268,6.81,0.681,1.97,99
LB 024B 01 AAA,LB024B01AAA,eg,0.208,0.208,5.28,0.528,1.22,199
LB 024C 01 AA,LB024C01AA,eg,0.268,6.81,0.681,0.268,6.81,0.681
LB 024C 01 AAA,LB024C01AAA,eg,0.208,5.28,0.528,0.208,5.28,0.528
LB 024D 01 AA,LB024D01AA,eg,0.268,6.81,0.681,0.268,6.81,0.681
LB 024D 01 AAA,LB024D01AAA,eg,0.208,5.28,0.528,0.208,5.28,0.528
LB 032A 01 C,LB032A01C,eg,0.394,10.01,1.001,0.394,10.01,1.001
LB 032B 01 C,LB032B01C,eg,0.394,10.01,1.001,0.394,10.01,1.001
LB 032C 01 C,LB032C01C,eg,0.394,10.01,1.001,0.394,10.01,1.001
LB 032D 01 C,LB032D01C,eg,0.394,10.01,1.001,0.394,10.01,1.001
LB 036A 01 D,LB036A01D,eg,0.432,10.97,1.097,0.432,10.97,1.097
LB 036B 01 D,LB036B01D,eg,0.432,10.97,1.097,0.432,10.97,1.097
LB 036C 01 D,LB036C01D,eg,0.432,10.97,1.097,0.432,10.97,1.097
LB 036D 01 D,LB036D01D,eg,0.435,11.05,1.105,0.435,11.05,1.105
