stock_code,price_code,price,min,currency,display_price_range
LC 035CD 14S316,A,7.19,19,$,0-19
LC 035CD 14S316,B,4.16,49,$,20-49
LC 035CD 14S316,C,2.19,99,$,50-99
LC 035CD 14S316,D,1.38,199,$,100-199
LC 035CD 14S316,E,1.207,299,$,200-299
LC 035CD 14S316,F,1.092,399,$,300-399
LC 035CD 14S316,G,0.988,499,$,400-499
LC 035CD 14S316,H,0.894,599,$,500-599
LC 035CD 14S316,I,0.812,699,$,600-699
LC 035CD 14S316,J,0.742,799,$,700-799
LC 035CD 14S316,K,0.684,899,$,800-899
LC 035CD 14S316,L,0.638,999,$,900-999
LC 035CD 15M,A,6.48,19,$,0-19
LC 035CD 15M,B,3.74,49,$,20-49
LC 035CD 15M,C,1.94,99,$,50-99
LC 035CD 15M,D,1.18,199,$,100-199
LC 035CD 15M,E,0.943,299,$,200-299
LC 035CD 15M,F,0.852,399,$,300-399
LC 035CD 15M,G,0.769,499,$,400-499
LC 035CD 15M,H,0.697,599,$,500-599
LC 035CD 15M,I,0.632,699,$,600-699
LC 035CD 15M,J,0.578,799,$,700-799
LC 035CD 15M,K,0.532,899,$,800-899
LC 035CD 15M,L,0.496,999,$,900-999
LC 035CD 15S,A,6.48,19,$,0-19
LC 035CD 15S,B,3.74,49,$,20-49
LC 035CD 15S,C,1.94,99,$,50-99
LC 035CD 15S,D,1.18,199,$,100-199
LC 035CD 15S,E,0.957,299,$,200-299
LC 035CD 15S,F,0.871,399,$,300-399
LC 035CD 15S,G,0.795,499,$,400-499
LC 035CD 15S,H,0.728,599,$,500-599
LC 035CD 15S,I,0.667,699,$,600-699
LC 035CD 15S,J,0.615,799,$,700-799
LC 035CD 15S,K,0.574,899,$,800-899
LC 035CD 15S,L,0.538,999,$,900-999
LC 035CD 15S316,A,7.19,19,$,0-19
LC 035CD 15S316,B,4.16,49,$,20-49
LC 035CD 15S316,C,2.19,99,$,50-99
LC 035CD 15S316,D,1.38,199,$,100-199
LC 035CD 15S316,E,1.225,299,$,200-299
LC 035CD 15S316,F,1.114,399,$,300-399
LC 035CD 15S316,G,1.016,499,$,400-499
LC 035CD 15S316,H,0.929,599,$,500-599
LC 035CD 15S316,I,0.852,699,$,600-699
LC 035CD 15S316,J,0.785,799,$,700-799
LC 035CD 15S316,K,0.732,899,$,800-899
LC 035CD 15S316,L,0.688,999,$,900-999
LC 035CD 16M,A,6.48,19,$,0-19
LC 035CD 16M,B,3.74,49,$,20-49
LC 035CD 16M,C,1.94,99,$,50-99
LC 035CD 16M,D,1.18,199,$,100-199
LC 035CD 16M,E,0.945,299,$,200-299
LC 035CD 16M,F,0.855,399,$,300-399
LC 035CD 16M,G,0.774,499,$,400-499
LC 035CD 16M,H,0.702,599,$,500-599
LC 035CD 16M,I,0.639,699,$,600-699
LC 035CD 16M,J,0.584,799,$,700-799
LC 035CD 16M,K,0.538,899,$,800-899
LC 035CD 16M,L,0.503,999,$,900-999
LC 035CD 16S,A,6.48,19,$,0-19
LC 035CD 16S,B,3.74,49,$,20-49
LC 035CD 16S,C,1.94,99,$,50-99
LC 035CD 16S,D,1.18,199,$,100-199
LC 035CD 16S,E,0.959,299,$,200-299
LC 035CD 16S,F,0.874,399,$,300-399
LC 035CD 16S,G,0.799,499,$,400-499
LC 035CD 16S,H,0.732,599,$,500-599
LC 035CD 16S,I,0.672,699,$,600-699
LC 035CD 16S,J,0.621,799,$,700-799
LC 035CD 16S,K,0.58,899,$,800-899
LC 035CD 16S,L,0.546,999,$,900-999
LC 035CD 16S316,A,7.19,19,$,0-19
LC 035CD 16S316,B,4.16,49,$,20-49
LC 035CD 16S316,C,2.19,99,$,50-99
LC 035CD 16S316,D,1.38,199,$,100-199
LC 035CD 16S316,E,1.227,299,$,200-299
LC 035CD 16S316,F,1.118,399,$,300-399
LC 035CD 16S316,G,1.021,499,$,400-499
LC 035CD 16S316,H,0.934,599,$,500-599
LC 035CD 16S316,I,0.858,699,$,600-699
LC 035CD 16S316,J,0.794,799,$,700-799
LC 035CD 16S316,K,0.739,899,$,800-899
LC 035CD 16S316,L,0.696,999,$,900-999
LC 035CD 17M,A,6.48,19,$,0-19
LC 035CD 17M,B,3.74,49,$,20-49
LC 035CD 17M,C,1.94,99,$,50-99
LC 035CD 17M,D,1.18,199,$,100-199
LC 035CD 17M,E,0.948,299,$,200-299
LC 035CD 17M,F,0.858,399,$,300-399
LC 035CD 17M,G,0.777,499,$,400-499
LC 035CD 17M,H,0.706,599,$,500-599
LC 035CD 17M,I,0.644,699,$,600-699
LC 035CD 17M,J,0.59,799,$,700-799
LC 035CD 17M,K,0.546,899,$,800-899
LC 035CD 17M,L,0.51,999,$,900-999
LC 035CD 17S,A,6.48,19,$,0-19
LC 035CD 17S,B,3.74,49,$,20-49
LC 035CD 17S,C,1.94,99,$,50-99
LC 035CD 17S,D,1.18,199,$,100-199
LC 035CD 17S,E,0.96,299,$,200-299
LC 035CD 17S,F,0.876,399,$,300-399
LC 035CD 17S,G,0.8,499,$,400-499
LC 035CD 17S,H,0.734,599,$,500-599
LC 035CD 17S,I,0.675,699,$,600-699
LC 035CD 17S,J,0.624,799,$,700-799
LC 035CD 17S,K,0.583,899,$,800-899
LC 035CD 17S,L,0.548,999,$,900-999
LC 035CD 17S316,A,7.19,19,$,0-19
LC 035CD 17S316,B,4.16,49,$,20-49
LC 035CD 17S316,C,2.19,99,$,50-99
LC 035CD 17S316,D,1.38,199,$,100-199
LC 035CD 17S316,E,1.229,299,$,200-299
LC 035CD 17S316,F,1.119,399,$,300-399
LC 035CD 17S316,G,1.023,499,$,400-499
LC 035CD 17S316,H,0.936,599,$,500-599
LC 035CD 17S316,I,0.861,699,$,600-699
LC 035CD 17S316,J,0.797,799,$,700-799
LC 035CD 17S316,K,0.743,899,$,800-899
LC 035CD 17S316,L,0.7,999,$,900-999
LC 035CD 18M,A,6.48,19,$,0-19
LC 035CD 18M,B,3.74,49,$,20-49
LC 035CD 18M,C,1.94,99,$,50-99
LC 035CD 18M,D,1.18,199,$,100-199
LC 035CD 18M,E,0.949,299,$,200-299
LC 035CD 18M,F,0.86,399,$,300-399
LC 035CD 18M,G,0.78,499,$,400-499
LC 035CD 18M,H,0.709,599,$,500-599
LC 035CD 18M,I,0.648,699,$,600-699
LC 035CD 18M,J,0.593,799,$,700-799
LC 035CD 18M,K,0.549,899,$,800-899
LC 035CD 18M,L,0.514,999,$,900-999
LC 035CD 18S,A,6.48,19,$,0-19
LC 035CD 18S,B,3.74,49,$,20-49
LC 035CD 18S,C,1.94,99,$,50-99
LC 035CD 18S,D,1.18,199,$,100-199
LC 035CD 18S,E,0.962,299,$,200-299
LC 035CD 18S,F,0.879,399,$,300-399
LC 035CD 18S,G,0.805,499,$,400-499
LC 035CD 18S,H,0.739,599,$,500-599
LC 035CD 18S,I,0.681,699,$,600-699
LC 035CD 18S,J,0.63,799,$,700-799
LC 035CD 18S,K,0.589,899,$,800-899
LC 035CD 18S,L,0.556,999,$,900-999
LC 035CD 18S316,A,7.19,19,$,0-19
LC 035CD 18S316,B,4.16,49,$,20-49
LC 035CD 18S316,C,2.19,99,$,50-99
LC 035CD 18S316,D,1.38,199,$,100-199
LC 035CD 18S316,E,1.232,299,$,200-299
LC 035CD 18S316,F,1.124,399,$,300-399
LC 035CD 18S316,G,1.03,499,$,400-499
LC 035CD 18S316,H,0.944,599,$,500-599
LC 035CD 18S316,I,0.869,699,$,600-699
LC 035CD 18S316,J,0.805,799,$,700-799
LC 035CD 18S316,K,0.752,899,$,800-899
LC 035CD 18S316,L,0.709,999,$,900-999
LC 035CD 19M,A,6.48,19,$,0-19
LC 035CD 19M,B,3.74,49,$,20-49
LC 035CD 19M,C,1.94,99,$,50-99
LC 035CD 19M,D,1.18,199,$,100-199
LC 035CD 19M,E,0.95,299,$,200-299
LC 035CD 19M,F,0.861,399,$,300-399
LC 035CD 19M,G,0.781,499,$,400-499
LC 035CD 19M,H,0.711,599,$,500-599
LC 035CD 19M,I,0.65,699,$,600-699
LC 035CD 19M,J,0.596,799,$,700-799
LC 035CD 19M,K,0.552,899,$,800-899
LC 035CD 19M,L,0.517,999,$,900-999
LC 035CD 19S,A,6.48,19,$,0-19
LC 035CD 19S,B,3.74,49,$,20-49
LC 035CD 19S,C,1.94,99,$,50-99
LC 035CD 19S,D,1.18,199,$,100-199
LC 035CD 19S,E,0.964,299,$,200-299
LC 035CD 19S,F,0.884,399,$,300-399
LC 035CD 19S,G,0.81,499,$,400-499
LC 035CD 19S,H,0.745,599,$,500-599
LC 035CD 19S,I,0.687,699,$,600-699
LC 035CD 19S,J,0.639,799,$,700-799
LC 035CD 19S,K,0.598,899,$,800-899
LC 035CD 19S,L,0.566,999,$,900-999
LC 035CD 19S316,A,7.19,19,$,0-19
LC 035CD 19S316,B,4.16,49,$,20-49
LC 035CD 19S316,C,2.19,99,$,50-99
LC 035CD 19S316,D,1.38,199,$,100-199
LC 035CD 19S316,E,1.235,299,$,200-299
LC 035CD 19S316,F,1.129,399,$,300-399
LC 035CD 19S316,G,1.036,499,$,400-499
LC 035CD 19S316,H,0.952,599,$,500-599
LC 035CD 19S316,I,0.877,699,$,600-699
LC 035CD 19S316,J,0.815,799,$,700-799
LC 035CD 19S316,K,0.763,899,$,800-899
LC 035CD 19S316,L,0.72,999,$,900-999
LC 035D 01 M,A,6.28,19,$,0-19
LC 035D 01 M,B,3.6,49,$,20-49
LC 035D 01 M,C,1.86,99,$,50-99
LC 035D 01 M,D,1.13,199,$,100-199
LC 035D 01 M,E,0.893,299,$,200-299
LC 035D 01 M,F,0.798,399,$,300-399
LC 035D 01 M,G,0.713,499,$,400-499
LC 035D 01 M,H,0.638,599,$,500-599
LC 035D 01 M,I,0.573,699,$,600-699
LC 035D 01 M,J,0.515,799,$,700-799
LC 035D 01 M,K,0.467,899,$,800-899
LC 035D 01 M,L,0.43,999,$,900-999
LC 035D 01 S,A,6.28,19,$,0-19
LC 035D 01 S,B,3.6,49,$,20-49
LC 035D 01 S,C,1.86,99,$,50-99
LC 035D 01 S,D,1.13,199,$,100-199
LC 035D 01 S,E,0.9,299,$,200-299
LC 035D 01 S,F,0.809,399,$,300-399
LC 035D 01 S,G,0.728,499,$,400-499
LC 035D 01 S,H,0.655,599,$,500-599
LC 035D 01 S,I,0.59,699,$,600-699
LC 035D 01 S,J,0.535,799,$,700-799
LC 035D 01 S,K,0.491,899,$,800-899
LC 035D 01 S,L,0.454,999,$,900-999
LC 035D 01 S316,A,6.92,19,$,0-19
LC 035D 01 S316,B,3.99,49,$,20-49
LC 035D 01 S316,C,2.1,99,$,50-99
LC 035D 01 S316,D,1.31,199,$,100-199
LC 035D 01 S316,E,1.154,299,$,200-299
LC 035D 01 S316,F,1.036,399,$,300-399
LC 035D 01 S316,G,0.93,499,$,400-499
LC 035D 01 S316,H,0.838,599,$,500-599
LC 035D 01 S316,I,0.755,699,$,600-699
LC 035D 01 S316,J,0.685,799,$,700-799
LC 035D 01 S316,K,0.626,899,$,800-899
LC 035D 01 S316,L,0.58,999,$,900-999
LC 035D 02 M,A,6.28,19,$,0-19
LC 035D 02 M,B,3.6,49,$,20-49
LC 035D 02 M,C,1.86,99,$,50-99
LC 035D 02 M,D,1.13,199,$,100-199
LC 035D 02 M,E,0.894,299,$,200-299
LC 035D 02 M,F,0.799,399,$,300-399
LC 035D 02 M,G,0.715,499,$,400-499
LC 035D 02 M,H,0.64,599,$,500-599
LC 035D 02 M,I,0.574,699,$,600-699
LC 035D 02 M,J,0.517,799,$,700-799
