stock_code,price_code,price,min,currency,display_price_range
LE 075E 09 S,A,10.15,19,$,0-19
LE 075E 09 S,B,6.01,49,$,20-49
LE 075E 09 S,C,3.41,99,$,50-99
LE 075E 09 S,D,2.24,199,$,100-199
LE 075E 09 S,E,1.903,299,$,200-299
LE 075E 09 S,F,1.772,399,$,300-399
LE 075E 09 S,G,1.656,499,$,400-499
LE 075E 09 S,H,1.551,599,$,500-599
LE 075E 09 S,I,1.459,699,$,600-699
LE 075E 09 S,J,1.38,799,$,700-799
LE 075E 09 S,K,1.315,899,$,800-899
LE 075E 09 S,L,1.263,999,$,900-999
LE 075E 10 M,A,9.1,19,$,0-19
LE 075E 10 M,B,5.35,49,$,20-49
LE 075E 10 M,C,2.95,99,$,50-99
LE 075E 10 M,D,1.93,199,$,100-199
LE 075E 10 M,E,1.647,299,$,200-299
LE 075E 10 M,F,1.541,399,$,300-399
LE 075E 10 M,G,1.444,499,$,400-499
LE 075E 10 M,H,1.36,599,$,500-599
LE 075E 10 M,I,1.287,699,$,600-699
LE 075E 10 M,J,1.224,799,$,700-799
LE 075E 10 M,K,1.171,899,$,800-899
LE 075E 10 M,L,1.128,999,$,900-999
LE 075E 10 S,A,10.46,19,$,0-19
LE 075E 10 S,B,6.22,49,$,20-49
LE 075E 10 S,C,3.54,99,$,50-99
LE 075E 10 S,D,2.34,199,$,100-199
LE 075E 10 S,E,1.982,299,$,200-299
LE 075E 10 S,F,1.844,399,$,300-399
LE 075E 10 S,G,1.719,499,$,400-499
LE 075E 10 S,H,1.607,599,$,500-599
LE 075E 10 S,I,1.51,699,$,600-699
LE 075E 10 S,J,1.428,799,$,700-799
LE 075E 10 S,K,1.358,899,$,800-899
LE 075E 10 S,L,1.304,999,$,900-999
LE 075E 11 M,A,9.45,19,$,0-19
LE 075E 11 M,B,5.58,49,$,20-49
LE 075E 11 M,C,3.11,99,$,50-99
LE 075E 11 M,D,2.03,199,$,100-199
LE 075E 11 M,E,1.741,299,$,200-299
LE 075E 11 M,F,1.625,399,$,300-399
LE 075E 11 M,G,1.522,499,$,400-499
LE 075E 11 M,H,1.429,599,$,500-599
LE 075E 11 M,I,1.348,699,$,600-699
LE 075E 11 M,J,1.279,799,$,700-799
LE 075E 11 M,K,1.22,899,$,800-899
LE 075E 11 M,L,1.174,999,$,900-999
LE 075E 11 S,A,11.09,19,$,0-19
LE 075E 11 S,B,6.63,49,$,20-49
LE 075E 11 S,C,3.85,99,$,50-99
LE 075E 11 S,D,2.58,199,$,100-199
LE 075E 11 S,E,2.162,299,$,200-299
LE 075E 11 S,F,2.002,399,$,300-399
LE 075E 11 S,G,1.858,499,$,400-499
LE 075E 11 S,H,1.731,599,$,500-599
LE 075E 11 S,I,1.618,699,$,600-699
LE 075E 11 S,J,1.524,799,$,700-799
LE 075E 11 S,K,1.442,899,$,800-899
LE 075E 11 S,L,1.379,999,$,900-999
LE 075E 12 M,A,9.85,19,$,0-19
LE 075E 12 M,B,5.82,49,$,20-49
LE 075E 12 M,C,3.29,99,$,50-99
LE 075E 12 M,D,2.15,199,$,100-199
LE 075E 12 M,E,1.821,299,$,200-299
LE 075E 12 M,F,1.697,399,$,300-399
LE 075E 12 M,G,1.586,499,$,400-499
LE 075E 12 M,H,1.486,599,$,500-599
LE 075E 12 M,I,1.401,699,$,600-699
LE 075E 12 M,J,1.325,799,$,700-799
LE 075E 12 M,K,1.264,899,$,800-899
LE 075E 12 M,L,1.213,999,$,900-999
LE 075E 12 S,A,11.74,19,$,0-19
LE 075E 12 S,B,7.07,49,$,20-49
LE 075E 12 S,C,4.18,99,$,50-99
LE 075E 12 S,D,2.82,199,$,100-199
LE 075E 12 S,E,2.35,299,$,200-299
LE 075E 12 S,F,2.167,399,$,300-399
LE 075E 12 S,G,2.005,499,$,400-499
LE 075E 12 S,H,1.859,599,$,500-599
LE 075E 12 S,I,1.733,699,$,600-699
LE 075E 12 S,J,1.622,799,$,700-799
LE 075E 12 S,K,1.533,899,$,800-899
LE 075E 12 S,L,1.46,999,$,900-999
LE 075E 1A M,A,7.71,19,$,0-19
LE 075E 1A M,B,4.48,49,$,20-49
LE 075E 1A M,C,2.38,99,$,50-99
LE 075E 1A M,D,1.5,199,$,100-199
LE 075E 1A M,E,1.309,299,$,200-299
LE 075E 1A M,F,1.232,399,$,300-399
LE 075E 1A M,G,1.162,499,$,400-499
LE 075E 1A M,H,1.1,599,$,500-599
LE 075E 1A M,I,1.045,699,$,600-699
LE 075E 1A M,J,0.999,799,$,700-799
LE 075E 1A M,K,0.959,899,$,800-899
LE 075E 1A M,L,0.928,999,$,900-999
LE 075E 1A S,A,7.98,19,$,0-19
LE 075E 1A S,B,4.65,49,$,20-49
LE 075E 1A S,C,2.51,99,$,50-99
LE 075E 1A S,D,1.58,199,$,100-199
LE 075E 1A S,E,1.384,299,$,200-299
LE 075E 1A S,F,1.306,399,$,300-399
LE 075E 1A S,G,1.236,499,$,400-499
LE 075E 1A S,H,1.172,599,$,500-599
LE 075E 1A S,I,1.118,699,$,600-699
LE 075E 1A S,J,1.07,799,$,700-799
LE 075E 1A S,K,1.032,899,$,800-899
LE 075E 1A S,L,1,999,$,900-999
LE 075G 01 M,A,7.98,19,$,0-19
LE 075G 01 M,B,4.65,49,$,20-49
LE 075G 01 M,C,2.51,99,$,50-99
