stock_code,price_code,price,min,currency,display_price_range
MS24585-C407,A,15.54,19,$,0-19
MS24585-C407,B,9.68,49,$,20-49
MS24585-C407,C,6.24,99,$,50-99
MS24585-C407,D,4.46,199,$,100-199
MS24585-C407,E,2.725,299,$,200-299
MS24585-C407,F,2.016,399,$,300-399
MS24585-C407,G,1.618,499,$,400-499
MS24585-C407,H,1.361,599,$,500-599
MS24585-C407,I,1.18,699,$,600-699
MS24585-C407,J,1.045,799,$,700-799
MS24585-C407,K,0.939,899,$,800-899
MS24585-C407,L,0.855,999,$,900-999
MS24585-C408,A,15.54,19,$,0-19
MS24585-C408,B,9.68,49,$,20-49
MS24585-C408,C,6.24,99,$,50-99
MS24585-C408,D,4.46,199,$,100-199
MS24585-C408,E,2.677,299,$,200-299
MS24585-C408,F,1.967,399,$,300-399
MS24585-C408,G,1.571,499,$,400-499
MS24585-C408,H,1.317,599,$,500-599
MS24585-C408,I,1.14,699,$,600-699
MS24585-C408,J,1.006,799,$,700-799
MS24585-C408,K,0.904,899,$,800-899
MS24585-C408,L,0.822,999,$,900-999
MS24585-C409,A,15.54,19,$,0-19
MS24585-C409,B,9.68,49,$,20-49
MS24585-C409,C,6.24,99,$,50-99
MS24585-C409,D,4.46,199,$,100-199
MS24585-C409,E,2.756,299,$,200-299
MS24585-C409,F,2.049,399,$,300-399
MS24585-C409,G,1.652,499,$,400-499
MS24585-C409,H,1.392,599,$,500-599
MS24585-C409,I,1.207,699,$,600-699
MS24585-C409,J,1.07,799,$,700-799
MS24585-C409,K,0.963,899,$,800-899
MS24585-C409,L,0.877,999,$,900-999
MS24585-C41,A,15.1,19,$,0-19
MS24585-C41,B,9.37,49,$,20-49
MS24585-C41,C,5.97,99,$,50-99
MS24585-C41,D,4.23,199,$,100-199
MS24585-C41,E,2.492,299,$,200-299
MS24585-C41,F,1.812,399,$,300-399
MS24585-C41,G,1.44,499,$,400-499
MS24585-C41,H,1.202,599,$,500-599
MS24585-C41,I,1.037,699,$,600-699
MS24585-C41,J,0.915,799,$,700-799
MS24585-C41,K,0.818,899,$,800-899
MS24585-C41,L,0.743,999,$,900-999
MS24585-C410,A,15.54,19,$,0-19
MS24585-C410,B,9.68,49,$,20-49
MS24585-C410,C,6.24,99,$,50-99
MS24585-C410,D,4.46,199,$,100-199
MS24585-C410,E,2.832,299,$,200-299
MS24585-C410,F,2.132,399,$,300-399
MS24585-C410,G,1.728,499,$,400-499
MS24585-C410,H,1.464,599,$,500-599
MS24585-C410,I,1.275,699,$,600-699
MS24585-C410,J,1.132,799,$,700-799
MS24585-C410,K,1.021,899,$,800-899
MS24585-C410,L,0.932,999,$,900-999
MS24585-C411,A,15.54,19,$,0-19
MS24585-C411,B,9.68,49,$,20-49
MS24585-C411,C,6.24,99,$,50-99
MS24585-C411,D,4.46,199,$,100-199
MS24585-C411,E,2.841,299,$,200-299
MS24585-C411,F,2.14,399,$,300-399
MS24585-C411,G,1.736,499,$,400-499
MS24585-C411,H,1.471,599,$,500-599
MS24585-C411,I,1.282,699,$,600-699
MS24585-C411,J,1.14,799,$,700-799
MS24585-C411,K,1.027,899,$,800-899
MS24585-C411,L,0.937,999,$,900-999
MS24585-C412,A,15.54,19,$,0-19
MS24585-C412,B,9.68,49,$,20-49
MS24585-C412,C,6.24,99,$,50-99
MS24585-C412,D,4.46,199,$,100-199
MS24585-C412,E,2.786,299,$,200-299
MS24585-C412,F,2.08,399,$,300-399
MS24585-C412,G,1.679,499,$,400-499
MS24585-C412,H,1.418,599,$,500-599
MS24585-C412,I,1.232,699,$,600-699
MS24585-C412,J,1.093,799,$,700-799
MS24585-C412,K,0.985,899,$,800-899
MS24585-C412,L,0.898,999,$,900-999
MS24585-C413,A,15.54,19,$,0-19
MS24585-C413,B,9.68,49,$,20-49
MS24585-C413,C,6.24,99,$,50-99
MS24585-C413,D,4.46,199,$,100-199
MS24585-C413,E,2.73,299,$,200-299
MS24585-C413,F,2.021,399,$,300-399
MS24585-C413,G,1.622,499,$,400-499
MS24585-C413,H,1.365,599,$,500-599
MS24585-C413,I,1.184,699,$,600-699
MS24585-C413,J,1.048,799,$,700-799
MS24585-C413,K,0.942,899,$,800-899
MS24585-C413,L,0.859,999,$,900-999
MS24585-C414,A,15.54,19,$,0-19
MS24585-C414,B,9.68,49,$,20-49
MS24585-C414,C,6.24,99,$,50-99
MS24585-C414,D,4.46,199,$,100-199
MS24585-C414,E,2.674,299,$,200-299
MS24585-C414,F,1.964,399,$,300-399
MS24585-C414,G,1.568,499,$,400-499
MS24585-C414,H,1.314,599,$,500-599
MS24585-C414,I,1.137,699,$,600-699
MS24585-C414,J,1.004,799,$,700-799
MS24585-C414,K,0.902,899,$,800-899
MS24585-C414,L,0.818,999,$,900-999
MS24585-C415,A,15.54,19,$,0-19
MS24585-C415,B,9.68,49,$,20-49
MS24585-C415,C,6.24,99,$,50-99
MS24585-C415,D,4.46,199,$,100-199
MS24585-C415,E,2.749,299,$,200-299
MS24585-C415,F,2.041,399,$,300-399
MS24585-C415,G,1.643,499,$,400-499
MS24585-C415,H,1.384,599,$,500-599
MS24585-C415,I,1.2,699,$,600-699
MS24585-C415,J,1.064,799,$,700-799
MS24585-C415,K,0.957,899,$,800-899
MS24585-C415,L,0.871,999,$,900-999
MS24585-C416,A,15.54,19,$,0-19
MS24585-C416,B,9.68,49,$,20-49
MS24585-C416,C,6.24,99,$,50-99
MS24585-C416,D,4.46,199,$,100-199
MS24585-C416,E,2.823,299,$,200-299
MS24585-C416,F,2.122,399,$,300-399
MS24585-C416,G,1.719,499,$,400-499
MS24585-C416,H,1.455,599,$,500-599
MS24585-C416,I,1.267,699,$,600-699
MS24585-C416,J,1.124,799,$,700-799
MS24585-C416,K,1.015,899,$,800-899
MS24585-C416,L,0.925,999,$,900-999
MS24585-C417,A,15.54,19,$,0-19
MS24585-C417,B,9.68,49,$,20-49
MS24585-C417,C,6.24,99,$,50-99
MS24585-C417,D,4.46,199,$,100-199
MS24585-C417,E,2.838,299,$,200-299
MS24585-C417,F,2.136,399,$,300-399
MS24585-C417,G,1.733,499,$,400-499
MS24585-C417,H,1.468,599,$,500-599
MS24585-C417,I,1.279,699,$,600-699
MS24585-C417,J,1.136,799,$,700-799
MS24585-C417,K,1.025,899,$,800-899
MS24585-C417,L,0.935,999,$,900-999
MS24585-C418,A,15.96,19,$,0-19
MS24585-C418,B,10,49,$,20-49
MS24585-C418,C,6.49,99,$,50-99
MS24585-C418,D,4.66,199,$,100-199
MS24585-C418,E,2.929,299,$,200-299
MS24585-C418,F,2.189,399,$,300-399
MS24585-C418,G,1.77,499,$,400-499
MS24585-C418,H,1.494,599,$,500-599
MS24585-C418,I,1.301,699,$,600-699
MS24585-C418,J,1.155,799,$,700-799
MS24585-C418,K,1.039,899,$,800-899
MS24585-C418,L,0.947,999,$,900-999
MS24585-C419,A,15.96,19,$,0-19
MS24585-C419,B,10,49,$,20-49
MS24585-C419,C,6.49,99,$,50-99
MS24585-C419,D,4.66,199,$,100-199
MS24585-C419,E,2.939,299,$,200-299
MS24585-C419,F,2.202,399,$,300-399
MS24585-C419,G,1.78,499,$,400-499
MS24585-C419,H,1.504,599,$,500-599
MS24585-C419,I,1.31,699,$,600-699
MS24585-C419,J,1.163,799,$,700-799
MS24585-C419,K,1.047,899,$,800-899
MS24585-C419,L,0.955,999,$,900-999
MS24585-C42,A,15.1,19,$,0-19
MS24585-C42,B,9.37,49,$,20-49
MS24585-C42,C,5.97,99,$,50-99
MS24585-C42,D,4.23,199,$,100-199
MS24585-C42,E,2.527,299,$,200-299
MS24585-C42,F,1.849,399,$,300-399
MS24585-C42,G,1.476,499,$,400-499
MS24585-C42,H,1.236,599,$,500-599
MS24585-C42,I,1.067,699,$,600-699
MS24585-C42,J,0.941,799,$,700-799
MS24585-C42,K,0.845,899,$,800-899
MS24585-C42,L,0.768,999,$,900-999
MS24585-C420,A,15.96,19,$,0-19
MS24585-C420,B,10,49,$,20-49
MS24585-C420,C,6.49,99,$,50-99
MS24585-C420,D,4.66,199,$,100-199
MS24585-C420,E,2.95,299,$,200-299
MS24585-C420,F,2.214,399,$,300-399
MS24585-C420,G,1.793,499,$,400-499
MS24585-C420,H,1.517,599,$,500-599
