title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_material,field_material_short_description,field_finish,field_spring_type,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_thickness_build_spec_in,field_thickness_in,field_thickness_mm,field_thickness_cm,field_thickness_tol_build_spe_in,field_thickness_tolerance_in,field_thickness_tolerance_mm,field_thickness_tolerance_cm,field_cal_load_flat_bld_spc_in,field_calculated_load_at_flat_lb,field_calculated_load_at_flat_n,field_calculated_load_at_flat_kg,field_calculated_load_at_flat_gm,field_free_height_build_spec_in,field_free_height_in,field_free_height_mm,field_free_height_cm,field_free_height_tol_bld_in,field_free_height_tolerance_in,field_free_height_tolerance_mm,field_free_height_tolerance_cm,field_bolt_size_imperial,field_bolt_size_metric,field_weight_per_item_lb
093-006-188,093-006-188,93006188,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,Maximum,Maximum,Maximum,Maximum,0.093,0.093,2.36,0.236,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.093,0.093,2.36,0.236,Minimum,Minimum,Minimum,Minimum,0.006,0.006,0.15,0.015,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,9.836,9.8,43.8,4.5,4461.6,0.015,0.015,0.38,0.038,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/32,M2.2,0.000037
093-007-188,093-007-188,93007188,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,Maximum,Maximum,Maximum,Maximum,0.093,0.093,2.36,0.236,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.093,0.093,2.36,0.236,Minimum,Minimum,Minimum,Minimum,0.007,0.007,0.18,0.018,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,12.148,12.1,54,5.5,5510.3,0.014,0.014,0.36,0.036,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/32,M2.2,0.000044
093-009-188,093-009-188,93009188,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,Maximum,Maximum,Maximum,Maximum,0.093,0.093,2.36,0.236,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.093,0.093,2.36,0.236,Minimum,Minimum,Minimum,Minimum,0.009,0.009,0.23,0.023,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,18.443,18.4,82,8.4,8365.7,0.014,0.014,0.36,0.036,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/32,M2.2,0.000056
093-010-188,093-010-188,93010188,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.188,0.188,4.78,0.478,Maximum,Maximum,Maximum,Maximum,0.093,0.093,2.36,0.236,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,0.093,0.093,2.36,0.236,Minimum,Minimum,Minimum,Minimum,0.01,0.01,0.25,0.025,+/-0.0006,+/-0.0006,+/-0.015,+/-0.0015,25.298,25.3,112.5,11.5,11475.2,0.015,0.015,0.38,0.038,+/-0.005,+/-0.005,+/-0.127,+/-0.0127,3/32,M2.2,0.000062
1000-049-1969,1000-049-1969,10000491969,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.969,1.969,50.01,5.001,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1,1,25.4,2.54,Minimum,Minimum,Minimum,Minimum,0.049,0.049,1.24,0.124,+/-0.0025,+/-0.0025,+/-0.064,+/-0.0064,347,347,1543.5,157.4,157399.2,0.112,0.112,2.84,0.284,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1,M25,0.032994
1000-059-1969,1000-059-1969,10000591969,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,1.969,1.969,50.01,5.001,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1,1,25.4,2.54,Minimum,Minimum,Minimum,Minimum,0.059,0.059,1.5,0.15,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,605.7,605.7,2694.3,274.7,274745.5,0.122,0.122,3.1,0.31,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1,M25,0.039728
1000-065-2000,1000-065-2000,10000652000,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2,2,50.8,5.08,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1,1,25.4,2.54,Minimum,Minimum,Minimum,Minimum,0.065,0.065,1.65,0.165,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,802.74,802.7,3570.8,364.1,364122.9,0.13,0.13,3.3,0.33,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1,M25,0.045639
1000-078-2000,1000-078-2000,10000782000,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2,2,50.8,5.08,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1,1,25.4,2.54,Minimum,Minimum,Minimum,Minimum,0.078,0.078,1.98,0.198,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,1280.433,1280.4,5695.7,580.8,580804.4,0.138,0.138,3.51,0.351,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1,M25,0.054767
1000-078-2375,1000-078-2375,10000782375,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2.375,2.375,60.33,6.033,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1,1,25.4,2.54,Minimum,Minimum,Minimum,Minimum,0.078,0.078,1.98,0.198,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,1112.799,1112.8,4950,504.8,504765.6,0.157,0.157,3.99,0.399,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1,M25,0.084718
1000-097-2000,1000-097-2000,10000972000,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,2,2,50.8,5.08,Maximum,Maximum,Maximum,Maximum,1,1,25.4,2.54,,,,,Stainless Steel,SS,Passivate per ASTM A967,61,ASTM A666/AMS 5906,1,1,25.4,2.54,Minimum,Minimum,Minimum,Minimum,0.097,0.097,2.46,0.246,+/-0.003,+/-0.003,+/-0.076,+/-0.0076,1970.1,1970.1,8763.4,893.6,893637.4,0.145,0.145,3.68,0.368,+/-0.01,+/-0.01,+/-0.254,+/-0.0254,1,M25,0.068108
