stock_code,price_code,price,min,currency,display_price_range
MS24585-C99,A ,6.56,19,$  ,0 – 19 
MS24585-C99,B ,3.78,49,$  ,20 – 49
MS24585-C99,C ,1.97,99,$  ,50 – 99
MS24585-C99,D ,1.22,199,$  ,100 – 199
MS24585-C99,E ,0.983,299,$  ,200 – 299
MS24585-C99,F ,0.886,399,$  ,300 – 399
MS24585-C99,G ,0.797,499,$  ,400 – 499
MS24585-C99,H ,0.721,599,$  ,500 – 599
MS24585-C99,I ,0.652,699,$  ,600 – 699
MS24585-C99,J ,0.594,799,$  ,700 – 799
MS24585-C99,K ,0.544,899,$  ,800 – 899
MS24585-C99,L ,0.506,999,$  ,900 – 999
MS24585-C99,M ,0.475,1000,$  ,1000 – 1999
