title,model,field_published_stock_code,field_product_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_spring_type,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
CI 009AB 02S,CI 009AB 02S,CI009AB02S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.188,0.188,4.78,0.478,0.018,0.018,0.46,0.046,7.768,7.768,1.36,13.6,0.1387,1.387,138.72,1387.2,0.776,0.776,0.1359,1.359,0.01386,0.1386,13.858,138.58,0.087,0.087,2.21,0.221,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,6.705,6.705,Reference,Reference,8.705,8.705,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,2.8E-05
CI 009AB 02S316,CI 009AB 02S316,CI009AB02S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.188,0.188,4.78,0.478,0.018,0.018,0.46,0.046,7.768,7.768,1.36,13.6,0.1387,1.387,138.72,1387.2,0.776,0.776,0.1359,1.359,0.01386,0.1386,13.858,138.58,0.087,0.087,2.21,0.221,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,6.705,6.705,Reference,Reference,8.705,8.705,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,2.8E-05
CI 009AB 03M,CI 009AB 03M,CI009AB03M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,6.733,6.733,1.179,11.79,0.1202,1.202,120.24,1202.4,0.673,0.673,0.1179,1.179,0.01202,0.1202,12.018,120.18,0.111,0.111,2.82,0.282,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,9.283,9.283,Reference,Reference,11.283,11.283,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,3.6E-05
CI 009AB 03S,CI 009AB 03S,CI009AB03S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,5.608,5.608,0.982,9.82,0.1001,1.001,100.15,1001.5,0.56,0.56,0.0981,0.981,0.01,0.1,10,100,0.111,0.111,2.82,0.282,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,9.287,9.287,Reference,Reference,11.287,11.287,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,3.7E-05
CI 009AB 03S316,CI 009AB 03S316,CI009AB03S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.25,0.25,6.35,0.635,0.018,0.018,0.46,0.046,5.608,5.608,0.982,9.82,0.1001,1.001,100.15,1001.5,0.56,0.56,0.0981,0.981,0.01,0.1,10,100,0.111,0.111,2.82,0.282,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,9.287,9.287,Reference,Reference,11.287,11.287,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,3.7E-05
CI 009AB 04M,CI 009AB 04M,CI009AB04M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,5.25,5.25,0.919,9.19,0.0938,0.938,93.75,937.5,0.524,0.524,0.0918,0.918,0.00936,0.0936,9.358,93.58,0.134,0.134,3.4,0.34,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,11.906,11.906,Reference,Reference,13.906,13.906,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,4.5E-05
CI 009AB 04S,CI 009AB 04S,CI009AB04S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,4.373,4.373,0.766,7.66,0.0781,0.781,78.09,780.9,0.437,0.437,0.0765,0.765,0.0078,0.078,7.804,78.04,0.134,0.134,3.4,0.34,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,11.91,11.91,Reference,Reference,13.91,13.91,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,4.5E-05
CI 009AB 04S316,CI 009AB 04S316,CI009AB04S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.313,0.313,7.95,0.795,0.018,0.018,0.46,0.046,4.373,4.373,0.766,7.66,0.0781,0.781,78.09,780.9,0.437,0.437,0.0765,0.765,0.0078,0.078,7.804,78.04,0.134,0.134,3.4,0.34,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,11.91,11.91,Reference,Reference,13.91,13.91,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,4.5E-05
CI 009AB 05M,CI 009AB 05M,CI009AB05M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,4.314,4.314,0.756,7.56,0.077,0.77,77.04,770.4,0.431,0.431,0.0755,0.755,0.0077,0.077,7.697,76.97,0.157,0.157,3.99,0.399,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,14.487,14.487,Reference,Reference,16.487,16.487,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,5.3E-05
CI 009AB 05S,CI 009AB 05S,CI009AB05S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,3.594,3.594,0.629,6.29,0.0642,0.642,64.18,641.8,0.359,0.359,0.0629,0.629,0.00641,0.0641,6.411,64.11,0.157,0.157,3.99,0.399,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,14.492,14.492,Reference,Reference,16.492,16.492,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,5.4E-05
CI 009AB 05S316,CI 009AB 05S316,CI009AB05S316,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.375,0.375,9.53,0.953,0.018,0.018,0.46,0.046,3.594,3.594,0.629,6.29,0.0642,0.642,64.18,641.8,0.359,0.359,0.0629,0.629,0.00641,0.0641,6.411,64.11,0.157,0.157,3.99,0.399,0.009,0.009,0.23,0.023,Stainless Steel Type 316,SS316,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,14.492,14.492,Reference,Reference,16.492,16.492,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,5.4E-05
CI 009AB 06M,CI 009AB 06M,CI009AB06M,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,3.653,3.653,0.64,6.4,0.0652,0.652,65.24,652.4,0.365,0.365,0.0639,0.639,0.00652,0.0652,6.518,65.18,0.181,0.181,4.6,0.46,0.009,0.009,0.23,0.023,Music Wire,MW,0.939,0.939,4.18,0.426,425.93,Squared,Factory Option,17.109,17.109,Reference,Reference,19.109,19.109,Pre-coated with Tin,1,Instrument Compression Series (inch),ASTM A228,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,6.1E-05
CI 009AB 06S,CI 009AB 06S,CI009AB06S,Compression Spring,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.063,0.063,1.6,0.16,+/-0.003,+/-0.003,+/-0.08,+/-0.008,0.078,0.078,1.98,0.198,0.04,0.04,1.02,0.102,MIN,MIN,MIN,MIN,0.438,0.438,11.13,1.113,0.018,0.018,0.46,0.046,3.043,3.043,0.533,5.33,0.0543,0.543,54.34,543.4,0.304,0.304,0.0532,0.532,0.00543,0.0543,5.429,54.29,0.181,0.181,4.6,0.46,0.009,0.009,0.23,0.023,Stainless Steel,SS,0.782,0.782,3.48,0.355,354.72,Squared,Factory Option,17.116,17.116,Reference,Reference,19.116,19.116,Passivate per ASTM A967,1,Instrument Compression Series (inch),ASTM A313,0.045,0.045,1.14,0.114,Reference,Reference,Reference,Reference,,6.2E-05
