title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_product_series,field_revision,field_material,field_material_short_description,field_material_specification,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_outside_dia_tole_bd_spe_in,field_outside_dia_tole_in,field_outside_dia_tole_mm,field_outside_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_total_coils_bd_spe,field_total_coils,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_end,field_initial_ten_bud_spec_lb,field_initial_tension_lb,field_initial_tension_n,field_initial_tension_kg,field_initial_tension_gm,field_initial_ten_tol_bud_spc_lb,field_initial_ten_tol_lb,field_initial_ten_tol_n,field_initial_ten_tol_kg,field_initial_ten_tol_gm,field_max_load_build_spec_lb,field_max_load_lb,field_max_load_n,field_max_load_kg,field_max_load_gm,field_max_extend_len_bd_spe_in,field_max_extended_length_in,field_max_extended_length_mm,field_max_extended_length_cm,field_body_length_build_spec_in,field_body_length_in,field_body_length_mm,field_body_length_cm,field_direction_of_wind,field_finish,field_weight_per_item_lb,field_loop_insid_dia_bd_spec_in,field_loop_inside_diameter_in,field_loop_inside_diameter_mm,field_loop_inside_diameter_cm,field_loop_position,field_loop_opening_build_spec_in,field_loop_opening_in,field_loop_opening_mm,field_loop_opening_cm
MS24586-647,MS24586-647,MS24586647,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,2.375,2.375,60.33,6.033,REF,Reference,Reference,Reference,14.65,14.65,2.566,25.66,0.2616,2.616,261.6,2616,1.465,1.465,0.2566,2.566,0.02616,0.2616,26.16,261.6,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,33,33,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,3.47,3.47,88.14,8.814,1.87,1.87,47.5,4.75,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.02376,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-648,MS24586-648,MS24586648,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,2.5,2.5,63.5,6.35,REF,Reference,Reference,Reference,13.62,13.62,2.385,23.85,0.2432,2.432,243.2,2432,1.362,1.362,0.2385,2.385,0.02432,0.2432,24.32,243.2,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,35.5,35.5,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,3.68,3.68,93.47,9.347,2.008,2.008,51,5.1,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.02478,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-649,MS24586-649,MS24586649,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,2.75,2.75,69.85,6.985,REF,Reference,Reference,Reference,12.08,12.08,2.116,21.16,0.2157,2.157,215.7,2157,1.208,1.208,0.2116,2.116,0.02157,0.2157,21.57,215.7,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,40,40,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,4.07,4.07,103.38,10.338,2.255,2.255,57.28,5.728,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.02851,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-65,MS24586-65,MS2458665,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.24,0.24,6.1,0.61,0.005,0.005,0.13,0.013,1.75,1.75,44.45,4.445,REF,Reference,Reference,Reference,8.97,8.97,1.571,15.71,0.1602,1.602,160.2,1602,0.897,0.897,0.1571,1.571,0.01602,0.1602,16.02,160.2,0.166,0.166,4.22,0.422,REF,Reference,Reference,Reference,37.5,37.5,0.037,0.037,0.94,0.094,Machine Loops,0.8,0.8,3.559,0.3629,362.9,REF,Reference,Reference,Reference,Reference,8.7,8.7,38.7,3.9463,3946.3,2.63,2.63,66.8,6.68,1.425,1.425,36.2,3.62,Factory Option,None,0.00808,0.166,0.166,4.22,0.422,Inline,0.018,0.018,0.46,0.046
MS24586-650,MS24586-650,MS24586650,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,3,3,76.2,7.62,REF,Reference,Reference,Reference,10.86,10.86,1.902,19.02,0.1939,1.939,193.9,1939,1.086,1.086,0.1902,1.902,0.01939,0.1939,19.39,193.9,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,44.5,44.5,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,4.47,4.47,113.54,11.354,2.5,2.5,63.5,6.35,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.0317,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-651,MS24586-651,MS24586651,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,3.25,3.25,82.55,8.255,REF,Reference,Reference,Reference,9.86,9.86,1.727,17.27,0.1761,1.761,176.1,1761,0.986,0.986,0.1727,1.727,0.01761,0.1761,17.61,176.1,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,49,49,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,4.87,4.87,123.7,12.37,2.754,2.754,69.95,6.995,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.03467,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-652,MS24586-652,MS24586652,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,3.5,3.5,88.9,8.89,REF,Reference,Reference,Reference,9.03,9.03,1.581,15.81,0.1613,1.613,161.3,1613,0.903,0.903,0.1581,1.581,0.01613,0.1613,16.13,161.3,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,53.5,53.5,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,5.27,5.27,133.86,13.386,2.998,2.998,76.15,7.615,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.03768,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-653,MS24586-653,MS24586653,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,3.75,3.75,95.25,9.525,REF,Reference,Reference,Reference,8.33,8.33,1.459,14.59,0.1488,1.488,148.8,1488,0.833,0.833,0.1459,1.459,0.01488,0.1488,14.88,148.8,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,58,58,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,5.67,5.67,144.02,14.402,3.245,3.245,82.42,8.242,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.04073,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-654,MS24586-654,MS24586654,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,4,4,101.6,10.16,REF,Reference,Reference,Reference,7.73,7.73,1.354,13.54,0.138,1.38,138,1380,0.773,0.773,0.1354,1.354,0.0138,0.138,13.8,138,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,62.5,62.5,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,6.1,6.1,154.94,15.494,3.493,3.493,88.72,8.872,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.04379,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
MS24586-655,MS24586-655,MS24586655,Extension Spring,11,Stock,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,MIL SPEC Extension (MS24586),E,Music Wire,MW,ASTM A228,0.36,0.36,9.14,0.914,0.008,0.008,0.2,0.02,4.25,4.25,107.95,10.795,REF,Reference,Reference,Reference,7.21,7.21,1.263,12.63,0.1288,1.288,128.8,1288,0.721,0.721,0.1263,1.263,0.01288,0.1288,12.88,128.8,0.25,0.25,6.35,0.635,REF,Reference,Reference,Reference,67,67,0.055,0.055,1.4,0.14,Machine Loops,1.6,1.6,7.117,0.7258,725.8,REF,Reference,Reference,Reference,Reference,17.6,17.6,78.289,7.9834,7983.4,6.47,6.47,164.34,16.434,3.74,3.74,95,9.5,Factory Option,"CAD Plate and Bake per QQ-P-416, Type II, Class 2",0.04684,0.25,0.25,6.35,0.635,Inline,0.027,0.027,0.69,0.069
