title,model,field_published_stock_code,field_product_type,field_spring_type,field_product_category,field_original_publication_date,field_published_in_us,field_published_in_mexico,field_published_in_india,field_published_in_china,field_published_in_uk,field_published_in_germany,field_published_in_italy,field_published_in_spain,field_published_in_france,field_revision,field_outside_dia_bd_spe_in,field_outside_dia_in,field_outside_dia_mm,field_outside_dia_cm,field_out_dia_tol_bld_spc_in,field_out_dia_tol_in,field_out_dia_tol_mm,field_out_dia_tol_cm,field_hole_dia_bd_spe_in,field_hole_dia_in,field_hole_dia_mm,field_hole_dia_cm,field_rod_dia_bd_spe_in,field_rod_dia_in,field_rod_dia_mm,field_rod_dia_cm,field_rod_dia_tole_bd_spe_in,field_rod_dia_tole_in,field_rod_dia_tole_mm,field_rod_dia_tole_cm,field_free_len_bd_spe_in,field_free_len_in,field_free_len_mm,field_free_len_cm,field_free_len_tole_bd_spe_in,field_free_len_tole_in,field_free_len_tole_mm,field_free_len_tole_cm,field_rate_bd_spe_lb_in,field_rate_lb_in,field_rate_n_mm,field_rate_n_cm,field_rate_kg_mm,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm,field_rate_tole_bd_spe_lb_in,field_rate_tole_lb_in,field_rate_tole_n_mm,field_rate_tole_n_cm,field_rate_tole_kg_mm,field_rate_tole_kg_cm,field_rate_tole_gm_mm,field_rate_tole_gm_cm,field_solid_height_bd_spe_in,field_solid_height_in,field_solid_height_mm,field_solid_height_cm,field_wire_dia_bd_spe_in,field_wire_dia_in,field_wire_dia_mm,field_wire_dia_cm,field_material,field_material_short_description,field_load_at_solid_height_bd_lb,field_load_at_solid_height_lb,field_load_at_solid_height_n,field_load_at_solid_height_kg,field_load_at_solid_height_gm,field_end,field_direction_of_wind,field_active_coils_bd_spe,field_active_coils,field_active_coils_tole_bd_spe,field_active_coils_tole,field_total_coils_bd_spe,field_total_coils,field_finish,field_product_series,field_material_specification,field_inside_dia_bd_spe_in,field_inside_dia_in,field_inside_dia_mm,field_inside_dia_cm,field_ins_dia_tol_bld_spec_in,field_field_inside_dia_tol_in,field_field_inside_dia_tol_mm,field_field_inside_dia_tol_cm,field_color,field_weight_per_item_lb
LWM08 015 0846S,LWM08 015 0846S,LWM080150846S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.333,0.333,8.46,0.846,0.06,0.06,1.52,0.152,26.779,26.779,4.69,46.9,0.4782,4.782,478.22,4782.2,6.695,6.695,1.1725,11.725,0.11956,1.1956,119.559,1195.59,0.08,0.08,2.03,0.203,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.775,6.775,30.14,3.073,3073.14,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.69,0.669,Reference,Reference,Reference,Reference,,0.000782
LWM08 015 1034S,LWM08 015 1034S,LWM080151034S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.407,0.407,10.34,1.034,0.07,0.07,1.78,0.178,21.469,21.469,3.76,37.6,0.3834,3.834,383.39,3833.9,5.367,5.367,0.9399,9.399,0.09584,0.9584,95.844,958.44,0.096,0.096,2.44,0.244,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.677,6.677,29.7,3.029,3028.69,Plain (End Turn is Wavy),Factory Option,11,11,Reference,Reference,11,11,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.69,0.669,Reference,Reference,Reference,Reference,,0.000955
LWM08 015 1222S,LWM08 015 1222S,LWM080151222S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.481,0.481,12.22,1.222,0.08,0.08,2.03,0.203,17.644,17.644,3.09,30.9,0.3151,3.151,315.09,3150.9,4.411,4.411,0.7725,7.725,0.07877,0.7877,78.772,787.72,0.112,0.112,2.85,0.285,0.008,0.008,0.2,0.02,Stainless Steel Type 17-7 PH,17-7,6.511,6.511,28.96,2.953,2953.39,Plain (End Turn is Wavy),Factory Option,13,13,Reference,Reference,13,13,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.69,0.669,Reference,Reference,Reference,Reference,,0.001129
LWM08 030 0282S,LWM08 030 0282S,LWM080300282S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.111,0.111,2.82,0.282,0.025,0.025,0.64,0.064,164.502,164.502,28.81,288.1,2.9377,29.377,2937.68,29376.8,41.126,41.126,7.2025,72.025,0.73443,7.3443,734.428,7344.28,0.04,0.04,1.02,0.102,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,11.68,11.68,51.96,5.298,5298.05,Plain (End Turn is Wavy),Factory Option,3,3,Reference,Reference,3,3,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.000326
LWM08 030 0376S,LWM08 030 0376S,LWM080300376S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.148,0.148,3.76,0.376,0.025,0.025,0.64,0.064,140.521,140.521,24.61,246.1,2.5094,25.094,2509.42,25094.2,35.13,35.13,6.1524,61.524,0.62735,6.2735,627.352,6273.52,0.05,0.05,1.27,0.127,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,13.771,13.771,61.26,6.247,6246.53,Plain (End Turn is Wavy),Factory Option,4,4,Reference,Reference,4,4,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.000434
LWM08 030 0470S,LWM08 030 0470S,LWM080300470S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.185,0.185,4.7,0.47,0.03,0.03,0.76,0.076,103.749,103.749,18.17,181.7,1.8527,18.527,1852.75,18527.5,25.937,25.937,4.5424,45.424,0.46318,4.6318,463.183,4631.83,0.06,0.06,1.52,0.152,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,12.969,12.969,57.69,5.883,5882.74,Plain (End Turn is Wavy),Factory Option,5,5,Reference,Reference,5,5,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.000543
LWM08 030 0564S,LWM08 030 0564S,LWM080300564S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.222,0.222,5.64,0.564,0.04,0.04,1.02,0.102,93.642,93.642,16.4,164,1.6723,16.723,1672.26,16722.6,23.411,23.411,4.1,41,0.41807,4.1807,418.074,4180.74,0.07,0.07,1.78,0.178,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,14.234,14.234,63.32,6.457,6456.54,Plain (End Turn is Wavy),Factory Option,6,6,Reference,Reference,6,6,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.000651
LWM08 030 0658S,LWM08 030 0658S,LWM080300658S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.259,0.259,6.58,0.658,0.05,0.05,1.27,0.127,75.77,75.77,13.27,132.7,1.3531,13.531,1353.1,13531,18.943,18.943,3.3175,33.175,0.33828,3.3828,338.284,3382.84,0.08,0.08,2.03,0.203,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,13.563,13.563,60.33,6.152,6152.18,Plain (End Turn is Wavy),Factory Option,7,7,Reference,Reference,7,7,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.00076
LWM08 030 0752S,LWM08 030 0752S,LWM080300752S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.296,0.296,7.52,0.752,0.05,0.05,1.27,0.127,66.749,66.749,11.69,116.9,1.192,11.92,1192,11920,16.687,16.687,2.9224,29.224,0.298,2.98,297.996,2979.96,0.09,0.09,2.29,0.229,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,13.75,13.75,61.16,6.237,6237,Plain (End Turn is Wavy),Factory Option,8,8,Reference,Reference,8,8,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.000869
LWM08 030 0846S,LWM08 030 0846S,LWM080300846S,Compression Spring,41,Stock,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NR,0.279,0.279,7.09,0.709,Reference,Reference,Reference,Reference,0.315,0.315,8,0.8,0.197,0.197,5,0.5,MIN,MIN,MIN,MIN,0.333,0.333,8.46,0.846,0.06,0.06,1.52,0.152,59.668,59.668,10.45,104.5,1.0656,10.656,1065.55,10655.5,14.917,14.917,2.6125,26.125,0.26639,2.6639,266.388,2663.88,0.1,0.1,2.54,0.254,0.01,0.01,0.25,0.025,Stainless Steel Type 17-7 PH,17-7,13.903,13.903,61.84,6.306,6306.4,Plain (End Turn is Wavy),Factory Option,9,9,Reference,Reference,9,9,Passivate per ASTM A967,REDUX™ Wave Series (metric),AMS 5529,0.215,0.215,6.59,0.659,Reference,Reference,Reference,Reference,,0.000977
