title,field_published_stock_code,field_product_type,field_product_category, field_original_publication_date,field_revision,field_outside_diameter_build_spe,field_outside_diameter_in_,field_outside_diameter_mm_, field_outside_diameter_cm, field_outside_diameter_tolerance,field_outside_diameter_toler_in,field_out_dia_tolerance_mm,field_outside_diameter_toler_cm,field_free_length_build_spec_in_,field_free_length_in,field_free_lenght_mm,field_free_lenght_cm,field_free_length_tolerance_buil,field_free_length_tolerance_in_,field_free_length_tolerance_mm,field_free_length_tolerance_cm_,Rate - Build Spec. (lb/in),field_rate_lb_in,field_rate_n_mm,field_rate_n_cm_,field_rate_kg_mm_,field_rate_kg_cm,field_rate_gm_mm,field_rate_gm_cm_,field_rate_tolerance_build_spec_,field_rate_tolerance_lb_in_,field_rate_tolerance_n_mm,field_rate_tolerance_n_cm_, field_rate_tolerance_kg_mm,field_rate_tolerance_kg_cm_, field_rate_tolerance_gm_mm,field_rate_tolerance_gm_cm_,field_wire_diameter_build_spec_i,field_wire_diameter_in_,field_wire_diameter_mm_,field_material,field_end,field_direction_of_wind,field_total_coils_build_spec_,field_total_coils,field_finish,field_spring_type,field_material_specification,field_inside_diameter_build_spec,field_inside_diameter_in_,field_inside_diameter_mm_,field_inside_diameter_cm_,field_inside_diameter_tolerance,field_inside_diameter_tol_in,field_inside_diameter_tolerance_,field_inside_dia_tol_cm,field_eyelet_inner_diameter,field_eyelet_inner_diameter_in, field_eyelet_inner_diameter_mm,field_eyelet_inner_diameter_cm,field_eyelet_inner_dia_toleran, field_eyelet_inner_dia_tole, field_eyelet_inner_dia_tol_mm,field_eyelet_inner_diameter_tole,field_center_to_center_end_lengt,field_center_to_center_end_len_i,field_center_to_center_end_len_m,field_center_to_center_end_len_c, field_center_to_center_end_len_t,field_center_to_center_len_in,field_center_to_center_end_to_mm,field_center_to_center_end_cm, field_outside_diameter_base_buil,field_outside_diameter_base_in,field_outside_diameter_base_mm,field_outside_diameter_base_cm_,field_outside_diameter_base_tole,field_outside_diameter_toler_in, field_out_dia_tolerance_mm,field_outside_diameter_toler_cm,field_approximate_load_build_spe,field_approximate_load_lb,field_approximate_load_n_,field_approximate_load_kg,field_approximate_load_gm_,field_approximate_load_tolerance,field_approximate_load_tole_lb,field_approximate_load_tol_n,field_approximate_load_tole,field_approximate_load_tole_gm,field_installed_height_build,field__installed_height_in_,field_installed_height_mm,field_installed_height_cm,field_battery_size,field_spring_mounting,field_weight_per_item_lb,langcode
LB 024B 01 AA,LB024B01AA,Specialty Spring,Stock,,NR,0.268,0.268,6.81,0.681,REF,REF,REF,REF,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,REF,REF,REF,REF,REF,REF,REF,REF,0.024,0.024,0.61,MW NI,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,0.109,0.109,2.77,0.277,Minimum,Minimum,Minimum,Minimum,0.545,0.545,13.84,1.384,REF,REF,REF,REF,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Exterior Mount,0.00086,en
LB 024C 01 AA,LB024C01AA,Specialty Spring,Stock,,NR,0.268,0.268,6.81,0.681,REF,REF,REF,REF,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,REF,REF,REF,REF,REF,REF,REF,REF,0.024,0.024,0.61,MW NI,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,3,3,76.2,7.62,REF,REF,REF,REF,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Adaptable Mount,0.00086,en
LB 024C 01 AAA,LB024C01AAA,Specialty Spring,Stock,,NR,0.208,0.208,5.28,0.528,REF,REF,REF,REF,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,REF,REF,REF,REF,REF,REF,REF,REF,0.024,0.024,0.61,MW NI,Squared,Factory Option,4.53,4.53,Pre-coated with Nickel,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,3,3,76.2,7.62,REF,REF,REF,REF,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.5,1.5,6.672,0.68,680,+/-0.3,+/-0.3,+/-1.334,+/-0.136,+/-136,0.195,0.195,4.95,0.495,AAA,Adaptable Mount,0.00073,en
LB 024D 01 AA,LB024D01AA,Specialty Spring,Stock,,NR,0.268,0.268,6.81,0.681,REF,REF,REF,REF,0.44,0.44,11.18,1.118,0.015,0.015,0.38,0.038,5.872,5.872,1.028,10.28,0.1049,1.049,104.86,1048.6,REF,REF,REF,REF,REF,REF,REF,REF,0.024,0.024,0.61,MW NI,Squared,Factory Option,4.62,4.62,Pre-coated with Nickel,Battery Spring,ASTM A228,0.22,0.22,5.59,0.559,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,0.62,0.62,15.75,1.575,REF,REF,REF,REF,0.39,0.39,9.91,0.991,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.75,1.75,7.784,0.794,794,+/-0.35,+/-0.35,+/-1.557,+/-0.159,+/-159,0.142,0.142,3.61,0.361,AA,Double Mount,0.00152,en
LB 024D 01 AAA,LB024D01AAA,Specialty Spring,Stock,,NR,0.208,0.208,5.28,0.528,REF,REF,REF,REF,0.355,0.355,9.02,0.902,0.015,0.015,0.38,0.038,9.375,9.375,1.642,16.42,0.1674,1.674,167.42,1674.2,REF,REF,REF,REF,REF,REF,REF,REF,0.024,0.024,0.61,MW NI,Squared,Factory Option,4.53,4.53,Pre-coated with Nickel,Battery Spring,ASTM A228,0.16,0.16,4.06,0.406,+/-0.004,+/-0.004,+/-0.1,+/-0.01,,,,,,,,,0.466,0.466,11.84,1.184,REF,REF,REF,REF,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.008,+/-0.008,1.5,1.5,6.672,0.68,680,+/-0.3,+/-0.3,+/-1.334,+/-0.136,+/-136,0.195,0.195,4.95,0.495,AAA,Double Mount,0.00126,en
LB 032A 01 C,LB032A01C,Specialty Spring,Stock,,NR,0.394,0.394,10.01,1.001,REF,REF,REF,REF,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,REF,REF,REF,REF,REF,REF,REF,REF,0.032,0.032,0.81,MW NI,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.173,0.173,4.39,0.439,Minimum,Minimum,Minimum,Minimum,,,,,,,,,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Interior Mount,0.00195,en
LB 032B 01 C,LB032B01C,Specialty Spring,Stock,,NR,0.394,0.394,10.01,1.001,REF,REF,REF,REF,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,REF,REF,REF,REF,REF,REF,REF,REF,0.032,0.032,0.81,MW NI,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.174,0.174,4.42,0.442,Minimum,Minimum,Minimum,Minimum,0.984,0.984,24.99,2.499,REF,REF,REF,REF,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Exterior Mount,0.00212,en
LB 032C 01 C,LB032C01C,Specialty Spring,Stock,,NR,0.394,0.394,10.01,1.001,REF,REF,REF,REF,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,REF,REF,REF,REF,REF,REF,REF,REF,0.032,0.032,0.81,MW NI,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,,,,3,3,76.2,7.62,REF,REF,REF,REF,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Adaptable Mount,0.00212,en
LB 032D 01 C,LB032D01C,Specialty Spring,Stock,,NR,0.394,0.394,10.01,1.001,REF,REF,REF,REF,0.52,0.52,13.21,1.321,0.02,0.02,0.51,0.051,5.556,5.556,0.973,9.73,0.0992,0.992,99.22,992.2,REF,REF,REF,REF,REF,REF,REF,REF,0.032,0.032,0.81,MW NI,Squared,Factory Option,5.1,5.1,Pre-coated with Nickel,Battery Spring,ASTM A228,0.33,0.33,8.38,0.838,+/-0.008,+/-0.008,+/-0.2,+/-0.02,,,,,,,,,1.07,1.07,27.18,2.718,REF,REF,REF,REF,0.54,0.54,13.72,1.372,+/-0.015,+/-0.015,+/-0.015,+/-0.015,1,1,4.448,0.454,454,+/-0.2,+/-0.2,+/-0.89,+/-0.091,+/-91,0.34,0.34,8.64,0.864,C,Double Mount,0.003695,en
LB 036A 01 D,LB036A01D,Specialty Spring,Stock,,NR,0.432,0.432,10.97,1.097,REF,REF,REF,REF,0.72,0.72,18.29,1.829,0.02,0.02,0.51,0.051,5.505,5.505,0.964,9.64,0.0983,0.983,98.31,983.1,REF,REF,REF,REF,REF,REF,REF,REF,0.036,0.036,0.91,MW NI,Squared,Factory Option,5.04,5.04,Pre-coated with Nickel,Battery Spring,ASTM A228,0.36,0.36,9.14,0.914,+/-0.008,+/-0.008,+/-0.2,+/-0.02,0.174,0.174,4.42,0.442,Minimum,Minimum,Minimum,Minimum,,,,,,,,,0.66,0.66,16.76,1.676,+/-0.015,+/-0.015,+/-0.015,+/-0.015,3,3,13.345,1.361,1361,+/-0.6,+/-0.6,+/-2.669,+/-0.272,+/-272,0.175,0.175,4.45,0.445,D,Interior Mount,0.00316,en
